Product,Handle,Product ID,Category,Metafield,Extracted Value,Existing Value,Action,Reason,Confidence
Officeneed Kraft Cover Wiro Notebook – Ruled,officeneed-kraft-cover-wiro-notebook-ruled,gid://shopify/Product/8224971259997,Officeneed Exclusive,product_common.brand,Officeneed,Officeneed,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
Officeneed Kraft Cover Wiro Notebook – Ruled,officeneed-kraft-cover-wiro-notebook-ruled,gid://shopify/Product/8224971259997,Officeneed Exclusive,product_common.product_type,Wiro Notebook (No. 8),Wiro Notebook (No. 8),EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
Officeneed Kraft Cover Wiro Notebook – Ruled,officeneed-kraft-cover-wiro-notebook-ruled,gid://shopify/Product/8224971259997,Officeneed Exclusive,product_common.dimensions,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed Kraft Cover Wiro Notebook – Ruled,officeneed-kraft-cover-wiro-notebook-ruled,gid://shopify/Product/8224971259997,Officeneed Exclusive,product_stationery.pages,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed Kraft Cover Wiro Notebook – Ruled,officeneed-kraft-cover-wiro-notebook-ruled,gid://shopify/Product/8224971259997,Officeneed Exclusive,product_stationery.paper_weight,100gsm,100gsm,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
Officeneed Kraft Cover Wiro Notebook – Ruled,officeneed-kraft-cover-wiro-notebook-ruled,gid://shopify/Product/8224971259997,Officeneed Exclusive,product_stationery.ruling,Ruled (with date field),Ruled (with date field),EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
Officeneed Kraft Cover Wiro Notebook – Ruled,officeneed-kraft-cover-wiro-notebook-ruled,gid://shopify/Product/8224971259997,Officeneed Exclusive,product_stationery.binding,"Kraft/Brown, Uncoated, Wiro (Spiral) Binding","Kraft/Brown, Uncoated, Wiro (Spiral) Binding",EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,medium
"Officeneed Flexible Wiro Notebook – A5, Ruled, 100 Pages",officeneed-flexible-wiro-notebook-a5-ruled-100-pages,gid://shopify/Product/8224916242525,Officeneed Exclusive,product_common.brand,Officeneed,,POPULATE,"Found in description via label ""Brand"".",high
"Officeneed Flexible Wiro Notebook – A5, Ruled, 100 Pages",officeneed-flexible-wiro-notebook-a5-ruled-100-pages,gid://shopify/Product/8224916242525,Officeneed Exclusive,product_common.product_type,Flexible Wiro Notebook,,POPULATE,"Found in description via label ""Product Type"".",high
"Officeneed Flexible Wiro Notebook – A5, Ruled, 100 Pages",officeneed-flexible-wiro-notebook-a5-ruled-100-pages,gid://shopify/Product/8224916242525,Officeneed Exclusive,product_common.dimensions,A5 (148mm x 210mm),,POPULATE,"Found in description via label ""Size"".",medium
"Officeneed Flexible Wiro Notebook – A5, Ruled, 100 Pages",officeneed-flexible-wiro-notebook-a5-ruled-100-pages,gid://shopify/Product/8224916242525,Officeneed Exclusive,product_stationery.pages,100,,POPULATE,"Found in description via label ""Pages"".",high
"Officeneed Flexible Wiro Notebook – A5, Ruled, 100 Pages",officeneed-flexible-wiro-notebook-a5-ruled-100-pages,gid://shopify/Product/8224916242525,Officeneed Exclusive,product_stationery.paper_weight,100gsm,,POPULATE,"Found in description via label ""Paper Weight"".",high
"Officeneed Flexible Wiro Notebook – A5, Ruled, 100 Pages",officeneed-flexible-wiro-notebook-a5-ruled-100-pages,gid://shopify/Product/8224916242525,Officeneed Exclusive,product_stationery.ruling,Ruled,,POPULATE,"Found in description via label ""Ruling"".",high
"Officeneed Flexible Wiro Notebook – A5, Ruled, 100 Pages",officeneed-flexible-wiro-notebook-a5-ruled-100-pages,gid://shopify/Product/8224916242525,Officeneed Exclusive,product_stationery.binding,"Flexible/Soft Cover, Spiral/Wire Bound",,POPULATE,"Found in description via label ""Cover + Binding"".",medium
"Officeneed Scribbling Pad – A5, Ruled, 40 Sheets",officeneed-scribbling-pad-a5-ruled-40-sheets,gid://shopify/Product/8224877969501,Officeneed Exclusive,product_common.brand,Officeneed,,POPULATE,"Found in description via label ""Brand"".",high
"Officeneed Scribbling Pad – A5, Ruled, 40 Sheets",officeneed-scribbling-pad-a5-ruled-40-sheets,gid://shopify/Product/8224877969501,Officeneed Exclusive,product_common.product_type,Scribbling Pad,,POPULATE,"Found in description via label ""Product Type"".",high
"Officeneed Scribbling Pad – A5, Ruled, 40 Sheets",officeneed-scribbling-pad-a5-ruled-40-sheets,gid://shopify/Product/8224877969501,Officeneed Exclusive,product_common.dimensions,A5 (148mm x 210mm),,POPULATE,"Found in description via label ""Size"".",medium
"Officeneed Scribbling Pad – A5, Ruled, 40 Sheets",officeneed-scribbling-pad-a5-ruled-40-sheets,gid://shopify/Product/8224877969501,Officeneed Exclusive,product_stationery.pages,40,,POPULATE,"Found in description via label ""Sheets"".",medium
"Officeneed Scribbling Pad – A5, Ruled, 40 Sheets",officeneed-scribbling-pad-a5-ruled-40-sheets,gid://shopify/Product/8224877969501,Officeneed Exclusive,product_stationery.paper_weight,100gsm,,POPULATE,"Found in description via label ""Paper Weight"".",high
"Officeneed Scribbling Pad – A5, Ruled, 40 Sheets",officeneed-scribbling-pad-a5-ruled-40-sheets,gid://shopify/Product/8224877969501,Officeneed Exclusive,product_stationery.ruling,Ruled,,POPULATE,"Found in description via label ""Ruling"".",high
"Officeneed Scribbling Pad – A5, Ruled, 40 Sheets",officeneed-scribbling-pad-a5-ruled-40-sheets,gid://shopify/Product/8224877969501,Officeneed Exclusive,product_stationery.binding,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
"Officeneed Wiro Notebook – Ruled, 250 Pages, A4",officeneed-wiro-notebook-ruled-250-pages-a4,gid://shopify/Product/8224854802525,Officeneed Exclusive,product_common.brand,Officeneed,,POPULATE,"Found in description via label ""Brand"".",high
"Officeneed Wiro Notebook – Ruled, 250 Pages, A4",officeneed-wiro-notebook-ruled-250-pages-a4,gid://shopify/Product/8224854802525,Officeneed Exclusive,product_common.product_type,Wiro Notebook,,POPULATE,"Found in description via label ""Product Type"".",high
"Officeneed Wiro Notebook – Ruled, 250 Pages, A4",officeneed-wiro-notebook-ruled-250-pages-a4,gid://shopify/Product/8224854802525,Officeneed Exclusive,product_common.dimensions,A4 (210mm x 297mm),,POPULATE,"Found in description via label ""Size"".",medium
"Officeneed Wiro Notebook – Ruled, 250 Pages, A4",officeneed-wiro-notebook-ruled-250-pages-a4,gid://shopify/Product/8224854802525,Officeneed Exclusive,product_stationery.pages,250,,POPULATE,"Found in description via label ""Pages"".",high
"Officeneed Wiro Notebook – Ruled, 250 Pages, A4",officeneed-wiro-notebook-ruled-250-pages-a4,gid://shopify/Product/8224854802525,Officeneed Exclusive,product_stationery.paper_weight,100gsm,,POPULATE,"Found in description via label ""Paper Weight"".",high
"Officeneed Wiro Notebook – Ruled, 250 Pages, A4",officeneed-wiro-notebook-ruled-250-pages-a4,gid://shopify/Product/8224854802525,Officeneed Exclusive,product_stationery.ruling,Ruled,,POPULATE,"Found in description via label ""Ruling"".",high
"Officeneed Wiro Notebook – Ruled, 250 Pages, A4",officeneed-wiro-notebook-ruled-250-pages-a4,gid://shopify/Product/8224854802525,Officeneed Exclusive,product_stationery.binding,Spiral/Wire Bound,,POPULATE,"Found in description via label ""Binding"".",high
"Practical Sheets for College – One Side Ruled, 50 Sheets",practical-sheets-for-college-one-side-ruled-50-sheets,gid://shopify/Product/8224851263581,Officeneed Exclusive,product_common.brand,Officeneed,Officeneed,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
"Practical Sheets for College – One Side Ruled, 50 Sheets",practical-sheets-for-college-one-side-ruled-50-sheets,gid://shopify/Product/8224851263581,Officeneed Exclusive,product_common.product_type,,Practical Sheets,EXISTING — SKIPPED,Shopify already has a value and the description doesn't contradict it; not touched.,
"Practical Sheets for College – One Side Ruled, 50 Sheets",practical-sheets-for-college-one-side-ruled-50-sheets,gid://shopify/Product/8224851263581,Officeneed Exclusive,product_common.dimensions,Letter (22.8cm x 28.8cm),Letter (22.8cm x 28.8cm),EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,medium
"Practical Sheets for College – One Side Ruled, 50 Sheets",practical-sheets-for-college-one-side-ruled-50-sheets,gid://shopify/Product/8224851263581,Officeneed Exclusive,product_stationery.pages,50,50,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,medium
"Practical Sheets for College – One Side Ruled, 50 Sheets",practical-sheets-for-college-one-side-ruled-50-sheets,gid://shopify/Product/8224851263581,Officeneed Exclusive,product_stationery.paper_weight,100gsm,100gsm,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
"Practical Sheets for College – One Side Ruled, 50 Sheets",practical-sheets-for-college-one-side-ruled-50-sheets,gid://shopify/Product/8224851263581,Officeneed Exclusive,product_stationery.ruling,One Side Ruled,One Side Ruled,EXISTING — SKIPPED,Shopify already has this value (same components); not overwriting.,high
"Practical Sheets for College – One Side Ruled, 50 Sheets",practical-sheets-for-college-one-side-ruled-50-sheets,gid://shopify/Product/8224851263581,Officeneed Exclusive,product_stationery.binding,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed box file,officeneed-box-file,gid://shopify/Product/8224810270813,Officeneed Exclusive,product_common.brand,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed box file,officeneed-box-file,gid://shopify/Product/8224810270813,Officeneed Exclusive,product_common.product_type,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed box file,officeneed-box-file,gid://shopify/Product/8224810270813,Officeneed Exclusive,product_common.dimensions,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed box file,officeneed-box-file,gid://shopify/Product/8224810270813,Officeneed Exclusive,product_stationery.pages,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed box file,officeneed-box-file,gid://shopify/Product/8224810270813,Officeneed Exclusive,product_stationery.paper_weight,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed box file,officeneed-box-file,gid://shopify/Product/8224810270813,Officeneed Exclusive,product_stationery.ruling,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed box file,officeneed-box-file,gid://shopify/Product/8224810270813,Officeneed Exclusive,product_stationery.binding,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed Unruled Wiro Book Flexible - Geometric,officeneed-unruled-wiro-book,gid://shopify/Product/8215642177629,Officeneed Exclusive,product_common.brand,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed Unruled Wiro Book Flexible - Geometric,officeneed-unruled-wiro-book,gid://shopify/Product/8215642177629,Officeneed Exclusive,product_common.product_type,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed Unruled Wiro Book Flexible - Geometric,officeneed-unruled-wiro-book,gid://shopify/Product/8215642177629,Officeneed Exclusive,product_common.dimensions,A4,,POPULATE,"Found in description via label ""Size"".",medium
Officeneed Unruled Wiro Book Flexible - Geometric,officeneed-unruled-wiro-book,gid://shopify/Product/8215642177629,Officeneed Exclusive,product_stationery.pages,250,,POPULATE,"Found in description via label ""Total Pages"".",medium
Officeneed Unruled Wiro Book Flexible - Geometric,officeneed-unruled-wiro-book,gid://shopify/Product/8215642177629,Officeneed Exclusive,product_stationery.paper_weight,,,NOT FOUND,"This field is relevant to the category's schema, but the description doesn't state it.",
Officeneed Unruled Wiro Book Flexible - Geometric,officeneed-unruled-wiro-book,gid://shopify/Product/8215642177629,Officeneed Exclusive,product_stationery.ruling,Unruled,,POPULATE,"Found in description via label ""Page Style"".",medium
Officeneed Unruled Wiro Book Flexible - Geometric,officeneed-unruled-wiro-book,gid://shopify/Product/8215642177629,Officeneed Exclusive,product_stationery.binding,"270 GSM non-tearable PVC cover, Strong and durable Wiro binding",,POPULATE,"Found in description via label ""Cover + Binding"".",medium
